,Name,Borough,"2006
(39)[2]","2007
(39)[3]","2008
(42)[4][5]","2009
(42)[6][7]","2010
(55)[8]","2011
(57)[9]","2012
(62)[10]","2013
(67)[11][12]","2014
(67)[13]","2015
(73)[14]","2016
(76)[15]","2017
(77)[16]","2018
(72)[17]"
91,M. Wells Steakhouse,Queens,,,,,,,,,,1,1,,
92,Marc Forgione,Manhattan,,,,,1,1,1,,,,,,
93,March,Manhattan,1,,,,,,,,,,,,
94,Marea,Manhattan,,,,,1,2,2,2,2,2,2,2,2
95,Masa,Manhattan,2,2,2,3,3,3,3,3,3,3,3,3,3
96,Meadowsweet,Brooklyn,,,,,,,,,,1,1,1,1
97,Minetta Tavern,Manhattan,,,,,1,1,1,1,1,1,1,1,1
98,The Modern,Manhattan,1,1,1,1,1,1,1,1,1,1,2,2,2
99,Momofuku Ko,Manhattan,,,,2,2,2,2,2,2,2,2,2,2
100,The Musket Room,Manhattan,,,,,,,,,1,1,1,1,1
101,Nix,Manhattan,,,,,,,,,,,,1,1
102,Nobu,Manhattan,1,,,,,,,,,,,,
103,The NoMad,Manhattan,,,,,,,,1,1,1,1,1,1
104,Oceana,Manhattan,1,1,1,1,1,1,1,1,1,,,,
105,Per Se,Manhattan,3,3,3,3,3,3,3,3,3,3,3,3,3
106,Perry Street,Manhattan,,1,1,1,1,,,,,,,,
107,Peter Luger Steak House,Brooklyn,1,1,1,1,1,1,1,1,1,1,1,1,1
108,Picholine,Manhattan,1,1,2,2,2,2,1,1,,1,1,,
109,Piora,Manhattan,,,,,,,,,,1,1,1,
110,Pok Pok NY,Brooklyn,,,,,,,,,,1,1,,
111,Public,Manhattan,,,,1,1,1,1,1,1,1,1,1,
112,Rebelle,Manhattan,,,,,,,,,,,1,1,1
113,Le Restaurant,Manhattan,,,,,,,,,1,,,,
114,Rhong-Tiam,Manhattan,,,,,1,,,,,,,,
115,The River Café,Brooklyn,,,,,1,1,1,1,,1,1,1,1
116,Rosanjin,Manhattan,,,,,,,1,1,1,1,1,,
117,Rouge Tomate,Manhattan,,,,,1,1,1,1,1,,,,1
118,Satsuki (restaurant),Manhattan,,,,,,,,,,,,,1
119,Saul,Brooklyn,1,1,1,1,1,1,1,1,,,,,
120,Scalini Fedeli,Manhattan,1,,,,,,,,,,,,
121,Seäsonal,Manhattan,,,,,1,1,1,1,1,1,,,
122,Semilla,Brooklyn,,,,,,,,,,,1,1,
123,Shalezeh,Manhattan,,,,,1,1,,,,,,,
124,SHO Shaun Hergatt,Manhattan,,,,,1,1,2,,,,,,
125,La Sirena,Manhattan,,,,,,,,,,,,1,1
126,Somtum Der,Manhattan,,,,,,,,,,,1,,
127,Soto,Manhattan,,,,,1,2,2,2,2,2,2,2,Closed[19]
128,The Spotted Pig,Manhattan,1,1,1,1,1,1,1,1,1,1,1,,
129,Sushi Amane,Manhattan,,,,,,,,,,,,,1
130,Sushi Azabu,Manhattan,,,,,1,1,1,1,1,1,1,,
131,Sushi Ginza Onodera,Manhattan,,,,,,,,,,,,1,2
132,Sushi Inoue,Manhattan,,,,,,,,,,,,1,1
133,Sushi of Gari,Manhattan,,1,1,1,1,1,1,1,1,1,1,1,
134,Sushi Yasuda,Manhattan,,,,,,,,,,,1,1,1
135,Sushi Zo,Manhattan,,,,,,,,,,,,1,1
136,Take Root,Brooklyn,,,,,,,,,,1,1,1,
137,Tamarind Tribeca,Manhattan,,,,,,,1,1,1,,,,
138,Telepan,Manhattan,,,,,,,,,1,1,1,,
139,Tempura Matsui,Manhattan,,,,,,,,,,,1,1,1
140,Tori Shin,Manhattan,,,,,,,1,1,1,1,1,1,1
141,Torrisi Italian Specialities,Manhattan,,,,,,,,1,1,1,,,
142,Tulsi,Manhattan,,,,,,,1,1,1,1,1,1,
143,Uncle Boons,Manhattan,,,,,,,,,,,1,1,1
144,Ushiwakamaru,Manhattan,,,,,,,,,,,,1,1
145,La Vara,Brooklyn,,,,,,,,,,1,1,1,1
146,Veritas,Manhattan,1,1,1,1,1,1,1,,,,,,
147,Vong,Manhattan,1,1,1,,,,,,,,,,
148,Wallsé,Manhattan,1,1,1,1,1,1,1,1,1,1,1,1,1
149,wd~50,Manhattan,1,1,1,1,1,1,1,1,1,,,,
150,Zabb Elee,Queens,,,,,,,,,,1,,,
151,ZZ's Clam Bar,Manhattan,,,,,,,,,,1,1,1,1
