name,neighborhood,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,city
Kurumazushi,Manhattan,,1,1,,,,,,,,,,,"New York
"
Kyo Ya,Manhattan,,,,1,1,1,1,1,1,1,1,1,1,"New York
"
Lan Sheng,Manhattan,,,,,,,,1,1,,,,,"New York
"
Laut,Manhattan,,,,,,1,1,,,,,,,"New York
"
Lever House,Manhattan,1,1,,,,,,,,,,,,"New York
"
Lincoln,Manhattan,,,,,,,,,1,1,,,,"New York
"
Lo Scalco,Manhattan,1,,,,,,,,,,,,,"New York
"
Luksus at Torst,Brooklyn,,,,,,,,,,1,1,1,,"New York
"
M. Wells Steakhouse,Queens,,,,,,,,,,1,1,,,"New York
"
Marc Forgione,Manhattan,,,,,1,1,1,,,,,,,"New York
"
March,Manhattan,1,,,,,,,,,,,,,"New York
"
Marea,Manhattan,,,,,1,2,2,2,2,2,2,2,2,"New York
"
Masa,Manhattan,2,2,2,3,3,3,3,3,3,3,3,3,3,"New York
"
Meadowsweet,Brooklyn,,,,,,,,,,1,1,1,1,"New York
"
Minetta Tavern,Manhattan,,,,,1,1,1,1,1,1,1,1,1,"New York
"
The Modern,Manhattan,1,1,1,1,1,1,1,1,1,1,2,2,2,"New York
"
Momofuku Ko,Manhattan,,,,2,2,2,2,2,2,2,2,2,2,"New York
"
The Musket Room,Manhattan,,,,,,,,,1,1,1,1,1,"New York
"
Nix,Manhattan,,,,,,,,,,,,1,1,"New York
"
Nobu,Manhattan,1,,,,,,,,,,,,,"New York
"
The NoMad,Manhattan,,,,,,,,1,1,1,1,1,1,"New York
"
Oceana,Manhattan,1,1,1,1,1,1,1,1,1,,,,,"New York
"
Per Se,Manhattan,3,3,3,3,3,3,3,3,3,3,3,3,3,"New York
"
Perry Street,Manhattan,,1,1,1,1,,,,,,,,,"New York
"
Peter Luger Steak House,Brooklyn,1,1,1,1,1,1,1,1,1,1,1,1,1,"New York
"
Picholine,Manhattan,1,1,2,2,2,2,1,1,,1,1,,,"New York
"
Piora,Manhattan,,,,,,,,,,1,1,1,,"New York
"
Pok Pok NY,Brooklyn,,,,,,,,,,1,1,,,"New York
"
Public,Manhattan,,,,1,1,1,1,1,1,1,1,1,,"New York
"
Rebelle,Manhattan,,,,,,,,,,,1,1,1,"New York
"
Le Restaurant,Manhattan,,,,,,,,,1,,,,,"New York
"
Rhong-Tiam,Manhattan,,,,,1,,,,,,,,,"New York
"
The River Café,Brooklyn,,,,,1,1,1,1,,1,1,1,1,"New York
"
Rosanjin,Manhattan,,,,,,,1,1,1,1,1,,,"New York
"
Rouge Tomate,Manhattan,,,,,1,1,1,1,1,,,,1,"New York
"
Satsuki (restaurant),Manhattan,,,,,,,,,,,,,1,"New York
"
Saul,Brooklyn,1,1,1,1,1,1,1,1,,,,,,"New York
"
Scalini Fedeli,Manhattan,1,,,,,,,,,,,,,"New York
"
Seäsonal,Manhattan,,,,,1,1,1,1,1,1,,,,"New York
"
Semilla,Brooklyn,,,,,,,,,,,1,1,,"New York
"
Shalezeh,Manhattan,,,,,1,1,,,,,,,,"New York
"
SHO Shaun Hergatt,Manhattan,,,,,1,1,2,,,,,,,"New York
"
La Sirena,Manhattan,,,,,,,,,,,,1,1,"New York
"
Somtum Der,Manhattan,,,,,,,,,,,1,,,"New York
"
Soto,Manhattan,,,,,1,2,2,2,2,2,2,2,Closed[19],"New York
"
The Spotted Pig,Manhattan,1,1,1,1,1,1,1,1,1,1,1,,,"New York
"
Sushi Amane,Manhattan,,,,,,,,,,,,,1,"New York
"
Sushi Azabu,Manhattan,,,,,1,1,1,1,1,1,1,,,"New York
"
Sushi Ginza Onodera,Manhattan,,,,,,,,,,,,1,2,"New York
"
Sushi Inoue,Manhattan,,,,,,,,,,,,1,1,"New York
"
Sushi of Gari,Manhattan,,1,1,1,1,1,1,1,1,1,1,1,,"New York
"
Sushi Yasuda,Manhattan,,,,,,,,,,,1,1,1,"New York
"
Sushi Zo,Manhattan,,,,,,,,,,,,1,1,"New York
"
Take Root,Brooklyn,,,,,,,,,,1,1,1,,"New York
"
Tamarind Tribeca,Manhattan,,,,,,,1,1,1,,,,,"New York
"
Telepan,Manhattan,,,,,,,,,1,1,1,,,"New York
"
Tempura Matsui,Manhattan,,,,,,,,,,,1,1,1,"New York
"
Tori Shin,Manhattan,,,,,,,1,1,1,1,1,1,1,"New York
"
Torrisi Italian Specialities,Manhattan,,,,,,,,1,1,1,,,,"New York
"
Tulsi,Manhattan,,,,,,,1,1,1,1,1,1,,"New York
"
Uncle Boons,Manhattan,,,,,,,,,,,1,1,1,"New York
"
Ushiwakamaru,Manhattan,,,,,,,,,,,,1,1,"New York
"
La Vara,Brooklyn,,,,,,,,,,1,1,1,1,"New York
"
Veritas,Manhattan,1,1,1,1,1,1,1,,,,,,,"New York
"
Vong,Manhattan,1,1,1,,,,,,,,,,,"New York
"
Wallsé,Manhattan,1,1,1,1,1,1,1,1,1,1,1,1,1,"New York
"
wd~50,Manhattan,1,1,1,1,1,1,1,1,1,,,,,"New York
"
Zabb Elee,Queens,,,,,,,,,,1,,,,"New York
"
ZZ's Clam Bar,Manhattan,,,,,,,,,,1,1,1,1,"New York
"
Acquerello,Nob Hill,,1,1,1,1,1,1,1,1,2,2,2,2,San Francisco
Adega,San Jose,,,,,,,,,,,,1,1,San Francisco
Alexander’s Steakhouse,Cupertino,,,,,,,1,1,1,,,,,San Francisco
All Spice,San Mateo,,,,,,,,1,1,1,1,,,San Francisco
Al's Place,Mission,,,,,,,,,,,1,1,1,San Francisco
Ame,SoMa,,,1,1,1,1,1,1,1,1,1,Closed,Closed,San Francisco
Applewood,Guerneville,,,,,1,1,,,,,Closed,Closed,Closed,San Francisco
Aster,Mission,,,,,,,,,,,1,1,1,San Francisco
Atelier Crenn,Cow Hollow,,,,,,,1,2,2,2,2,2,2,San Francisco
Aqua,Financial District,,2,2,2,,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Auberge du Soleil,Rutherford,,1,1,1,1,1,1,1,1,1,1,1,1,San Francisco
Aziza,Richmond,,,,,1,1,1,1,1,1,1,1,,San Francisco
Baumé,Palo Alto,,,,,,1,2,2,2,2,2,2,2,San Francisco
Benu,SoMa,,,,,,,2,2,2,3,3,3,3,San Francisco
Bistro Jeanty,Yountville,,1,1,1,,,,,,,,,,San Francisco
Bouchon,Yountville,,1,1,1,1,1,1,1,1,1,1,1,1,San Francisco
Boulevard,SoMa,,1,1,1,1,1,1,1,1,1,,,,San Francisco
Bushi-Tei,Japantown,,1,,,,,,Closed,Closed,Closed,Closed,Closed,Closed,San Francisco
Californios,Mission,,,,,,,,,,,1,1,2,San Francisco
